超商,Address,Response_X,Response_Y
711,桃園市桃園區大業路1段54、56號1樓,121.3177746,25.0045823
711,桃園市桃園區富國路555號1樓,121.2838424,25.0178842
711,桃園市桃園區國際路2段557、559號1樓,121.2858996,25.0058816
711,桃園市桃園區大有路560號1樓,121.3179985,25.0139968
711,桃園市桃園區大有路561號1樓,121.3168102,25.0154849
711,桃園市桃園區大同路五十七、五十九號,121.3120594,24.989364
711,桃園市桃園區民生路57號1樓,121.3142857,24.9916043
711,桃園市桃園區新埔六街58、60號1樓,121.3026459,25.0146168
711,桃園市桃園區大業路1段59、61號1樓,121.3174006,25.0046059
711,桃園市桃園區中華路5號1、2樓,121.3113328,24.9909675
711,桃園市桃園區永安路600號1樓,121.297465,25.0031033
711,桃園市桃園區文中里仁愛路６０號１、２樓,121.2931594,24.994174
711,桃園市桃園區中正路612號1樓,121.3048088,25.0047469
711,桃園市桃園區中正路６１２號１樓,121.3048088,25.0047469
711,桃園市桃園區中正路６１８、６２０號１樓,121.3047425,25.0049356
711,桃園市桃園區大連一街61號、正康四街8號1樓,121.3060102,25.0074601
711,桃園市桃園區中正路650號1樓,121.3042534,25.0056156
711,桃園市桃園區富國路656號1樓,121.2825505,25.0201583
711,桃園市桃園區文中路65號1樓,121.2932881,24.995764
711,桃園市桃園區龍泉二街65號1樓、龍城五街66、68號1樓,121.2698618,24.9801266
711,桃園市桃園區大有路660號1樓之2,121.3165839,25.0167546
711,桃園市桃園區春日路670號1樓,121.3106774,25.0106059
711,桃園市桃園區長安里中正路六八七號一樓,121.3034357,25.0064251
711,桃園市桃園區大有路6號1樓,121.3239723,25.0037789
711,桃園市桃園區大豐路７０號１樓,121.3176145,24.9806328
711,桃園市桃園區春日路７３６號１樓,121.3100945,25.0121983
711,桃園市桃園區永安路739號1樓,121.291242,25.007371
711,桃園市桃園區國豐三街73、75號1樓,121.2792768,24.9892697
711,桃園市桃園區文中路747號1樓,121.2750578,24.9928829
711,桃園市桃園區民族路79號1樓,121.3094754,24.9908749
711,桃園市桃園區力行路7號1樓,121.3050743,25.0030209
711,桃園市桃園區經國路801號,121.3004275,25.028584
711,桃園市桃園區民族路八十號１樓,121.3097937,24.9907971
711,桃園市桃園區復興路80號1樓,121.3162592,24.9910906
711,桃園市桃園區中山東路八十一號春日路１８８號１樓,121.3159245,24.9964113
711,桃園市桃園區中正路820號1樓,121.3020337,25.009532
711,桃園市桃園區上海路82、84號及江南八街49號1樓,121.2829892,24.9905605
711,桃園市桃園區大興西路二段82號1樓,121.2982404,25.0115863
711,桃園市桃園區龍泉五街82號、龍祥街98號,121.2717191,24.9824925
711,桃園市桃園區經國路838號1樓,121.3007896,25.0309119
711,桃園市桃園區金門二街八十三、九十三號一樓,121.3168005,24.981693
711,桃園市桃園區三民路3段84、86號1樓,121.3057061,24.9948187
711,桃園市桃園區民安路84號、忠五路169號,121.2997642,24.9975994
711,桃園市桃園區安慶街84、86號1樓,121.292685,25.0182983
711,桃園市桃園區經國路860號1樓,121.3006819,25.0316797
711,桃園市桃園區中山路８８８、８９０號１樓,121.2886732,24.9901414
711,桃園市桃園區健行路88號,121.3101014,25.0220038
711,桃園市桃園區經國二路89號1樓,121.2979848,25.0298491
711,桃園市桃園區成功路3段8號1樓,121.325076,24.9973234
711,桃園市桃園區長沙街90號1樓,121.3095067,24.9799964
